marque,modele,annee,sous_modele,version,prix,consommation,moteur,puissance,transmission,carrosserie,portes,places,url
Acura,MDX,2006,Base,Tech,57200,N/O,V6 3.5L SACT 24 soupapes,253 cv @                                                     5800 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2006/base/tech/
Acura,MDX,2006,Base,Touring,54100,N/O,V6 3.5L SACT 24 soupapes,253 cv @                                                     5800 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2006/base/touring/
Acura,MDX,2007,Base,Base,52300,13.8 (Automatique ville) / 10.0 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6000 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2007/base/base/
Acura,MDX,2007,Base,Elite,61900,13.8 (Automatique ville) / 10.0 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6000 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2007/base/elite/
Acura,MDX,2007,Base,Tech,56900,13.8 (Automatique ville) / 10.0 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6000 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2007/base/tech/
Acura,MDX,2008,Base,Base,52500,13.8 (Automatique ville) / 10.0 (Automatique autoroute),,300 cv @                                                     6000 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2008/base/base/
Acura,MDX,2008,Base,Elite,62200,13.8 (Automatique ville) / 10.0 (Automatique autoroute),,300 cv @                                                     6000 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2008/base/elite/
Acura,MDX,2008,Base,Technology,57200,13.8 (Automatique ville) / 10.0 (Automatique autoroute),,300 cv @                                                     6000 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2008/base/technology/
Acura,MDX,2009,Base,Base,52900,13.8 (Automatique ville) / 10.0 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6000 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2009/base/base/
Acura,MDX,2009,Base,Elite,62500,13.8 (Automatique ville) / 10.0 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6000 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2009/base/elite/
Acura,MDX,2009,Base,Technology,58200,13.8 (Automatique ville) / 10.0 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6000 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2009/base/technology/
Acura,MDX,2010,Base,Base,51990,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2010/base/base/
Acura,MDX,2010,Base,Elite,61990,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2010/base/elite/
Acura,MDX,2010,Base,Technology,57290,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2010/base/technology/
Acura,MDX,2011,Base,SH-AWD,52690,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2011/base/sh-awd/
Acura,MDX,2011,Base,SH-AWD  ELITE,62690,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2011/base/sh-awd-elite/
Acura,MDX,2011,Base,SH-AWD TECH,57990,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2011/base/sh-awd-tech/
Acura,MDX,2012,Base,SH-AWD ELITE,62890,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2012/base/sh-awd-elite/
Acura,MDX,2012,Base,SH-AWD TECH,58190,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2012/base/sh-awd-tech/
Acura,MDX,2012,Base,SH-TI,52690,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2012/base/sh-ti/
Acura,MDX,2013,Base,Base,53250,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2013/base/base/
Acura,MDX,2013,Base,ELITE,63450,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2013/base/elite/
Acura,MDX,2013,Base,TECH,58750,13.2 (Automatique ville) / 9.6 (Automatique autoroute),V6 3.7L SACT 24 soupapes,300 cv @                                                     6300 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2013/base/tech/
Acura,MDX,2014,Base,Base,49990,11.2 (Automatique ville) / 7.7 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2014/base/base/
Acura,MDX,2014,Base,ELITE,65990,11.2 (Automatique ville) / 7.7 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2014/base/elite/
Acura,MDX,2014,Base,NAVI,54690,11.2 (Automatique ville) / 7.7 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2014/base/navi/
Acura,MDX,2014,Base,TECH,59990,11.2 (Automatique ville) / 7.7 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2014/base/tech/
Acura,MDX,2015,Base,Base,49990,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2015/base/base/
Acura,MDX,2015,Base,ELITE,63990,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2015/base/elite/
Acura,MDX,2015,Base,NAVI,54990,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2015/base/navi/
Acura,MDX,2015,Base,TECH,58990,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2015/base/tech/
Acura,MDX,2016,Base,Base,53250,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2016/base/base/
Acura,MDX,2016,Base,Elite,65250,12.2 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2016/base/elite/
Acura,MDX,2016,Base,Navi,56250,12.7 (Automatique ville) / 9.1 (Automatique autoroute),V6 3.5L SACT 24 soupapes,290 cv @                                                     6200 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2016/base/navi/
